Nom de l'établissement	Adresse	Site Web	Status
Le Spa Marinélys	17 Rue des Terriers 85120 La Châtaigneraie France	https://www.le-spa-marinelys.fr/	Traité
L'Orée du Spa - Head Spa Japonais - Chanverrie en Vendée	24 Rue des Érables 85130 Chanverrie France	https://loreeduspa.fr/	Traité
Célesthéna- Head Spa & Massages Bien-être	17 Grand Rue 85320 Mareuil-sur-Lay-Dissais France	https://www.celesthena-bienetre.fr/	Traité
Espace bien être Nuit de Retz	Rue du Grand Pré 44710 Port-Saint-Père France	https://www.auberge-pays-retz.fr/fr/spa.html	Traité
Spa Abellie - l'Alvéole du Bien-être	Moulin de Beau Rivage 49450 Sèvremoine France	http://www.spa-abellie.fr/	Traité
SPA Relais Malmaison	93 Bd Franklin Roosevelt 92500 Rueil-Malmaison France	https://www.radissonhotels.com/fr-fr/hotels/radisson-relaismalmaison-paris/spa	Traité
Spa Sixième Sens	Centre Commercial Auchan Supermarché 40 Rue Arthur Rimbaud 91400 Saclay France	http://www.spasixiemesens.fr/	Traité
Mooreana Spa	104 Av. Jean Moulin 78170 La Celle-Saint-Cloud France	http://mooreana.fr/	Traité
Spa Guerlain	1 Bd de la Reine 78000 Versailles France	https://www.waldorfastoriaversailles.fr/spa-fitness/spa-guerlain/	Traité
Spa L'orée des bois	16 rés la cour du Château de Montlieu 16 78125 Émancé France	https://www.spaloreedesbois.com/?utm_source=gmb	Traité
L Esprit Des Sens	30 bis Rue du Vieil Abreuvoir 78100 Saint-Germain-en-Laye France	https://lespritdessens.com/fr/?utm_source=gmb	Traité
Spa Les Bains de Corot - proche Versailles	55 Rue de Versailles 92410 Ville-d'Avray France	https://www.lesbainsdecorot.com/	Traité
LAGOA SPA, Institut de bien-être & Spa à Troyes	36 Rue des Philippats 10800 Saint-Julien-les-Villas France	http://www.lagoa-spa.fr/	Traité
O'Val SPA	Le Val Moret 22 Rue du Maréchal Leclerc C.D. 443 - Autoroute A5 – Sortie 10110 Magnant France	https://www.le-val-moret.com/o-val-spa-piscine-couverte-hotel-aube.html	Traité
SPA Nuxe Troyes	3 Rue Raymond Poincaré 10000 Troyes France	http://spa-troyes.com/	Traité
SPA Thalgo l'Orée du Bois	Domaine de la Foret d'Orient 5 Rte de Geraudot 10220 Rouilly-Sacey France	https://www.domaine-foret-orient.com/spa-hotel-restaurant-spa-troyes-rouilly-sacey	Traité
Esprit de Spa by M	64 Rue du Général Leclerc 14800 Deauville France	http://www.spa-deauville.com/	Traité
Bien-Etre & Confort	5 Av. de la Stèle Za 14740 Thue et Mue France	https://www.bienetreconfort.fr/	Traité
Spa Algotherm - Houlgate	1 Rue Charles Sevestre 14510 Houlgate France	https://www.algotherm.com/at_fr/spa-houlgate	Traité
L'atypique SPA | Massages - Piscine - Jacuzzi - Hammam - Sauna	55 Rue du Commandant Berge 77100 Meaux France	https://latypiquespa.com/	Traité
Rosso Institut Privé	40 Avenue du Maréchal 08000 Charleville-Mézières France	http://spa-celinie.com/	Traité
SPA CÉLINIE - Maison de bien-être Warcq	7 Prom. des Remparts 08000 Warcq France	https://www.planity.com/spa-celinie-08000-warcq	Traité
Matéa Bien-être & Spa	106 Av. Pasteur 08300 Lucquy France	https://www.mateabienetre.fr/	Traité
Belaora Spa	7 Rue du Pilori 08260 Champlin France	http://belaora.fr/	Traité
